id,Date,Open,High,Low,Close,Volume,Futureprice
8565,2021-11-23-01-15,56654.74,56654.74,56589.15,56612.69,0.09902203,56582.41
8566,2021-11-23-01-14,56671.65,56673.1,56637.42,56663.56,0.69058364,56612.69
8567,2021-11-23-01-13,56741.53,56741.53,56661.33,56724.34,7.21495237,56663.56
8568,2021-11-23-01-12,56703.17,56714.56,56698.68,56698.68,0.04670884,56724.34
8569,2021-11-23-01-11,56755.86,56755.86,56711.4,56711.4,0.05925803,56698.68
8570,2021-11-23-01-10,56814.72,56827.92,56785.69,56785.69,0.04418,56711.4
8571,2021-11-23-01-09,56797.16,56804.21,56763.78,56804.21,0.15808131,56785.69
8572,2021-11-23-01-08,56723.36,56733.56,56717.5,56733.56,0.08945673,56804.21
8573,2021-11-23-01-07,56708.4,56746.03,56704.36,56704.36,1.29188614,56733.56
8574,2021-11-23-01-06,56651.01,56675.07,56647.2,56669.61,1.68785272,56704.36
8575,2021-11-23-01-05,56742.74,56742.74,56662.98,56662.98,0.00693,56669.61
8576,2021-11-23-01-04,56746.54,56784.29,56718.34,56784.29,0.11353724,56662.98
8577,2021-11-23-01-03,56783.0,56797.16,56783.0,56787.42,0.01055,56784.29
8578,2021-11-23-01-02,56740.16,56764.72,56740.16,56762.95,0.0069,56787.42
8579,2021-11-23-01-01,56729.09,56747.07,56699.91,56699.91,0.3353414,56762.95
8580,2021-11-23-01-00,56632.41,56661.09,56577.13,56661.09,0.246486,56699.91
8581,2021-11-23-00-59,56644.4,56644.4,56585.86,56619.26,0.08308347,56661.09
8582,2021-11-23-00-58,56585.85,56656.46,56570.25,56656.46,1.24455996,56619.26
8583,2021-11-23-00-57,56635.41,56635.41,56577.61,56596.61,0.74137,56656.46
8584,2021-11-23-00-56,56748.0,56760.2,56638.14,56638.14,0.19768,56596.61
8585,2021-11-23-00-55,56690.28,56756.7,56690.28,56756.7,0.03332446,56638.14
8586,2021-11-23-00-54,56645.0,56691.0,56645.0,56691.0,0.2775759,56756.7
8587,2021-11-23-00-53,56599.0,56621.18,56599.0,56603.82,0.01715426,56691.0
